МЕСЕЦ,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
Благоевград,11667967.62,11691126.39,13110013.370000001,12380278.530000001,13761646.420000002,14447591.190000005,15352173.400000002,14796203.309999999,14455320.889999999,13737246.070000002,13298221.07,12941996.52,13387777.61,12828600.7,11796755.129999997,9564880.519999998,12139232.090000002,14026025.09,15290741.9,13711698.25,13987731.299999999,13830030.349999998,13172575.55,12579002.66,13170501.74,13122620.459999997,14565896.890000002,13992059.61,14468573.220000003,16229142.36,17056850.83,15918063.5,14849769.499999996,14861811.240000002,15068943.14,14363904.18,14102410.670000002,13949457.99,16137408.91,14868512.04,15953350.900000002,17377054.500000004,17838962.380000003,16260184.35,16045913.379999999,15679966.41,15214656.670000002,14434237.8,14069491.42,13763623.760000002,15548288.269999996,14673452.09,16287203.079999996,17737796.5,19566875.740000002,18456607.18,17855438.74,16750490.459999997,16114757.95,15123716.59,15307214.1,15601134.559999999,16390704.73,16652149.46,16723818.640000004,18498092.74,20037883.37,18729244.259999998,18088689.689999998,17581379.5,16940850.080000006,15588877.130000003,16636023.260000002,16562220.31,18040601.030000005,17639272.069999997,19446443.459999993,21881671.57,23031730.01,21305556.89,20623967.43,19594493.279999997,18969282.790000003,18363715.61,18116180.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Бургас,9567346.06,9502702.240000004,10455468.700000003,10145392.01,11722781.97,13531269.7,17302942.93,17856067.730000004,14119304.36,12670667.259999998,10924612.41,10081915.059999999,10210728.530000001,9547726.360000003,9059416.61,8194119.0600000005,10089624.030000001,11999838.52,16276114.680000002,15923682.149999999,13345568.809999999,11705510.669999998,10380104.59,9139031.669999998,9417434.100000001,9479740.11,10748455.379999999,10992413.029999997,11953219.050000003,13631144.670000002,18546220.549999997,19197502.33,14096032.219999999,12090124.02,11265636.67,9989131.870000001,9767101.68,9584511.7,11864617.169999998,11266368.189999998,11943957.439999998,13455399.360000001,17248993.019999996,17519321.150000002,14154973.320000004,12209799.629999999,11124708.900000002,10902452.450000003,9879948.369999997,9675732.049999997,11640675.009999998,11077196.560000002,13279698.230000004,14620080.889999999,18318873.36,18961540.78,14515902.04,13044832.310000002,11802640.399999997,10799296.58,10880651.059999999,11037545.260000004,11693541.879999999,12408567.940000001,13083572.729999997,15827607.25,18989720.110000003,19393615.089999996,14826899.949999996,13763118.629999999,12679919.080000002,11196808.91,11661003.620000001,11016576.389999997,12626860.059999999,12975770.599999998,14030418.870000003,16271371.790000003,19708018.73,18804422.71,15217116.530000001,13519876.760000002,13043458.220000003,13060806.510000004,11809410.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Варна,10704690.099999998,10628670.61,12350696.489999998,11853505.299999997,12398447.829999998,13325286.200000001,15781867.320000002,15533264.04,13849041.399999999,13699726.05,11959232.02,11514969.319999998,11306119.279999997,10972869.839999996,10699633.059999999,9723521.36,10980018.16,12378259.79,15271342.040000003,14477568.979999999,13914325.509999998,13480549.5,12189212.280000001,10711904.61,10636167.920000002,10801482.010000002,12266610.379999999,12587164.890000004,12398590.779999997,13276300.679999996,17078359.23,16355032.189999996,14170309.210000005,13536528.04,13002249.100000001,11784689.299999999,11309194.230000004,11493800.35,13049062.530000003,12619111.739999998,12955739.95,13454368.499999998,15474457.26,15456702.440000001,13622989.160000002,13118871.999999996,12640570.169999998,12682319.080000002,11013016.350000001,10963173.370000001,12977635.139999999,12274181.14,13580964.39,14440217.130000003,16524255.750000002,16745168.000000004,14417524.920000004,14334224.82,12790984.74,12435409.200000003,11730579.030000001,12106351.49,13028455.86,13628588.69,13410001.669999998,14982675.950000003,16756373.93,16525250.969999999,14144554.610000003,14562261.8,13745778.439999998,12292834.71,12478816.059999999,11627764.27,13442282.59,13544886.709999997,13979627.99,15719258.580000002,18275942.169999994,17216390.040000007,14853374.620000005,14598861.54,13791223.14,13879077.66,12074819.350000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Велико Търново,5271637.460000001,5262381.050000001,6492542.279999999,5754762.040000001,6163949.65,6541707.33,7783953.180000002,7807573.710000001,7666274.210000002,7411228.08,6462547.9399999995,6210371.449999998,5724855.24,5497370.620000001,5672059.880000001,5467632.79,6152398.390000001,6672385.860000001,7954040.24,7564997.720000002,7894236.18,7645214.649999999,6896624.8,5738538.6,5843307.880000001,5947994.699999999,6575548.43,7184006.849999999,6992738.279999999,7166839.300000001,8923062.260000002,8170832.289999999,8102079.19,7509624.09,7336381.74,6206168.900000002,5886289.609999999,6186828.01,7066895.26,6666319.409999999,6812214.529999999,7034945.67,7425989.689999998,7761561.38,7447102.7799999975,7453111.6000000015,6548492.57,6474484.150000002,5756416.88,5889315.27,7186762.680000001,6566577.0,7166512.45,7305762.299999999,8146390.820000002,8025800.420000002,7474500.15,7572012.419999998,6940920.86,6411858.419999998,6118099.640000001,6248274.22,6766726.770000001,7126770.57,6845171.620000001,7762122.590000001,7967094.880000001,8492970.87,7669505.66,8213283.299999999,7606701.77,6690371.189999999,6763194.769999999,6591343.720000001,7545695.850000001,7498058.460000001,7574939.6,8412061.789999997,8817356.790000001,8404753.98,8027069.909999998,8141392.98,7498906.430000002,7309488.720000002,6432592.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Видин,5360289.0,5178176.77,6027846.65,5586899.4,5757461.529999999,5841225.959999999,6661732.06,6253681.7,6327405.960000001,6745073.97,6358335.170000001,5443908.02,5853378.58,6066882.27,5793581.039999999,4974508.42,5805117.25,6384287.989999998,7206193.54,6781032.329999999,7125447.49,7562858.4,7286640.370000001,5754018.02,6247632.12,6345589.84,7242241.880000001,7444317.08,7187683.3999999985,7448492.09,8132711.25,7514183.800000001,7455831.449999999,8247069.619999999,8123328.9,6672945.619999999,7538529.800000001,7715715.92,8192108.349999999,8090406.27,8214807.960000001,7986257.010000002,8382160.11,7877124.62,7922567.510000001,8376545.220000001,8155877.039999999,7022118.34,7580605.34,7640124.66,8471867.69,8015533.119999999,8030180.56,8402488.58,9252680.56,8268774.780000001,8120086.260000001,8643882.6,8613287.79,7385657.779999999,7700037.74,7853886.76,8000735.02,8187550.86,7728405.949999999,8396490.48,8814339.209999999,8050521.86,7931864.479999999,8715198.8,8554128.66,6922089.29,7966534.1,8579803.600000001,9087864.07,8363096.2,8426377.420000002,8838467.0,9140358.4,8456935.52,8671613.75,9336565.37,9596437.150000002,8057118.6899999995,8701620.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Враца,4749382.880000001,4614513.129999999,5625897.72,5192270.789999999,5612326.899999999,5632508.37,6338117.949999999,6187281.710000001,6109704.89,6220133.460000001,5986500.8500000015,5399479.020000001,5374325.76,5458223.390000001,5328429.22,4848199.28,5535792.1899999995,6083710.88,6816079.120000001,6408543.26,7010847.879999999,7196534.269999999,6766350.98,5439736.18,5770706.880000001,5867598.780000001,6536164.18,6324707.63,6270109.819999998,6897912.63,7846662.929999999,6994397.25,7169939.380000001,7582021.449999999,7299807.9,6107865.970000001,6005532.61,6597477.0600000005,7297579.95,6746152.83,7048497.300000001,7212762.0600000005,6973625.15,6563882.469999999,7307594.869999999,7861327.610000001,6865352.53,6308290.36,6058723.5,5844960.480000001,6846277.1899999995,6228662.1899999995,6704821.75,6537170.83,7211272.420000001,7076238.54,7262454.210000001,7056707.66,6323797.1,5734644.3100000005,5540665.65,5929834.19,6308104.08,6679796.75,6172073.19,6951271.5600000005,6906650.799999999,6711555.510000002,6379129.35,7034853.300000001,6737957.92,5985850.219999999,6225490.449999999,5653044.6899999995,6288824.59,6174101.779999999,6697926.18,7004967.5600000005,6855692.680000001,6502025.700000001,6589667.649999999,7055783.359999999,6803088.88,6147558.399999999,5778160.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Габрово,2464986.6499999994,2473611.5199999996,2787713.0299999993,2699627.51,2818508.4,2707379.74,3049000.26,3050183.8599999994,2932420.0699999994,3073597.9099999997,2803595.25,2521933.91,2463122.34,2422455.54,2303673.33,2034443.22,2472824.1100000003,2676595.24,3011943.19,2946019.28,2915079.13,2946036.1,2717668.55,2425514.4000000004,2436094.96,2436555.98,2714065.4299999997,2788743.8600000003,2785165.38,2977898.2,3363794.6499999994,3203981.04,3038385.13,3121065.46,2929455.23,2733966.65,2527833.26,2659692.4799999995,2941111.67,2862495.3600000003,2964705.26,2978930.53,2986269.04,2950184.2699999996,2882130.7300000004,3028056.27,2834189.48,2717773.6899999995,2343832.23,2465795.9300000006,2871903.05,2651409.25,2872193.67,2978385.7600000002,3208054.2699999996,3236611.17,3068861.96,3144481.35,2934124.26,2605863.9699999997,2582532.17,2726182.31,2895451.6,2980470.0600000005,2862494.41,2989610.68,3289418.87,3193007.16,3016367.4499999997,3229559.71,3113939.09,2853428.99,2730436.1400000006,2674673.0,2963872.27,2977173.5299999993,3124101.44,3288040.9,3475744.02,3267064.45,3231627.37,3383721.1199999996,3121791.4499999997,3050767.44,2712620.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Добрич,3130314.38,3468501.9799999995,4233334.0600000005,4095151.8,4115245.1099999994,4528318.84,5859979.9,5831633.559999999,5524764.430000002,5250859.2,4240710.970000001,3717035.96,3321295.1100000003,3332692.8000000003,3562577.7800000003,3764747.7599999993,3621583.4499999993,3926451.0100000007,5475861.16,5147533.99,5273269.199999999,4741366.0600000005,4462634.229999999,3235674.2899999996,3107489.76,3282694.54,3810830.2199999997,4578623.92,4133887.14,4284122.5,6716329.65,6215241.14,5769356.049999999,5380997.779999999,5666804.86,3732515.09,3678689.3799999994,3745360.3899999997,4545387.1,4307606.6899999995,4445429.3,4619284.029999999,5754190.36,5405928.68,5496699.040000001,5155450.870000001,4124792.9199999995,4099157.5900000003,3221473.249999999,3418539.7300000004,4228400.0,4096468.8200000003,4508269.66,4848676.040000003,6064184.770000001,5940461.680000001,5413614.580000001,5120274.120000001,4110736.6500000004,4370960.24,3459096.74,3850536.0,4024380.040000001,4565514.390000001,4212140.89,5285131.7,5870652.24,6173863.930000002,5333570.36,6025232.08,4761761.08,3899491.7100000004,3944802.7500000005,3516314.5600000005,4644205.390000001,4753481.63,4564642.15,5477026.220000001,6830660.42,6605013.83,5893807.440000001,5876171.700000001,5327513.25,4489921.27,3683605.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Кърджали,2618909.7,2476128.14,2922192.34,2944437.9,3240409.1400000006,3335794.2200000007,4035507.9800000004,4567488.469999999,3651840.0399999996,3414825.68,2941988.8400000003,3111305.7399999998,3004118.09,2693109.5300000003,2459246.01,2085591.84,2441692.57,2904484.9000000004,3697528.8600000003,3737091.8899999997,3384330.3499999996,3275157.3199999994,3046585.9299999997,2884019.4299999997,2791820.16,2667235.0500000003,3023835.7500000005,3067907.85,3280498.51,3381974.8899999997,4478955.75,4332075.909999999,3451406.8999999994,3206475.04,3134803.6499999994,3026819.92,2763513.5,2636324.13,3046087.02,3061745.71,3301099.83,3656310.12,4463566.6899999995,4407229.350000001,3696284.3699999996,3374410.3300000005,3117769.29,3312684.13,2849767.84,2707045.45,3161757.2800000003,3114121.63,3404733.6900000004,3931024.66,4949289.250000001,5067475.85,4188795.53,3689880.7899999996,3330967.77,3314876.2,3181053.4400000004,3116385.2300000004,3240900.0900000003,3546997.7699999996,3775388.4,4339419.210000001,5226232.12,5367414.130000001,4354196.21,3935141.6799999997,3707112.47,3655663.4699999993,3498516.7699999996,3178522.7,3551250.04,3681264.0700000003,4026211.2,4663579.359999999,5635973.26,5724120.4399999995,4674672.18,4044151.3500000006,3769884.2199999997,4045539.4599999995,3486114.2800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Кюстендил,2642059.66,2676565.5100000002,3016242.830000001,2956936.62,3215516.8,3218696.04,3394672.9100000006,3257803.57,3321236.3199999994,3458439.0299999993,3193663.6599999997,2823852.6600000006,2992425.3500000006,2823219.3599999994,2362495.88,2031724.4100000001,2543875.79,2870876.7899999996,3181781.56,3044146.5700000003,3180162.08,3279094.8000000003,3090851.2199999997,2746195.5100000002,2803982.67,2831163.82,3117796.9399999995,2980483.9500000007,3235856.1899999995,3494597.6900000004,3781904.5100000007,3505835.63,3284311.5,3395900.2900000005,3319706.04,3038796.9299999997,3028126.37,3054083.0199999996,3525347.7,3250679.96,3342395.799999999,3450820.4899999998,3507434.45,3263497.2800000003,3459457.77,3571184.5599999996,3304020.58,3148710.53,2935603.2300000004,2965254.24,3398547.9699999997,3209151.08,3465964.29,3585994.96,3872886.5200000005,3754477.8500000006,3632312.58,3705743.4200000004,3429671.8999999994,3291930.4099999997,3283629.7700000005,3359876.88,3543756.79,3607570.92,3521382.54,3853657.16,4151037.52,3864620.4299999997,3881415.15,4007349.1899999995,3824797.2199999997,3428633.3499999996,3553733.2800000003,3444672.3,3813224.4400000004,3792866.09,3969081.92,4200565.01,4358037.78,4082458.01,4174497.5599999996,4189811.3400000003,3990401.830000001,3899026.08,3657065.9299999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ловеч,2856763.2399999993,2893663.8899999997,3540119.53,3377616.89,3556033.59,3534512.7800000003,3920323.2500000005,3961676.3900000006,3786988.7799999993,3721962.2399999993,3409978.79,3088834.509999999,3101583.6799999997,2983408.51,2851434.9499999997,2695273.2100000004,3080259.66,3585098.99,4116162.18,3990266.5100000016,4134480.0999999996,4254781.85,3915940.749999999,3168348.64,3162490.0199999996,3251588.8600000003,3691714.45,3909403.619999999,4052455.880000001,4234041.08,4658793.529999999,4453121.809999999,4280997.3100000005,4087724.2299999995,4105584.03,3285387.0199999996,3156922.2699999996,3438962.0300000003,3943239.1299999994,3584817.79,3841133.869999999,4001099.2700000005,4154969.0500000007,4049186.68,3947768.36,4063120.7199999997,3784932.2099999995,3478260.88,3218318.52,3283162.4899999993,3955902.36,3525427.0999999987,3925795.159999999,4072514.9099999997,4573034.220000001,4513289.319999999,4282567.090000001,4405875.11,4083997.8500000006,3649669.2500000005,3623254.13,3686029.84,3937666.79,4153394.43,4048646.389999999,4350257.21,4865319.09,4824772.640000001,4674639.54,5106530.030000001,4750448.170000001,4001608.4800000004,4117460.1600000006,3903254.77,4661548.410000001,4668892.869999999,4885122.460000001,5201047.92,5247874.66,5008059.750000001,5001018.96,5073121.390000001,4826412.289999999,4501546.699999999,4057830.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Монтана,2598427.99,2684924.1300000004,3637613.7399999993,3128326.5700000003,3245071.15,3280220.25,4115634.380000001,4068958.130000001,3874544.8,3853214.6000000006,3319969.75,3225259.9400000004,3023865.01,2983723.91,2844995.73,2805739.6600000006,2883896.4799999995,3490735.9899999993,4445923.8,4006530.4000000004,4404679.28,4228731.0200000005,3922379.6000000006,2929554.0300000003,2829203.9599999995,2999147.3100000005,3291584.88,3548126.27,3355521.369999999,3715228.5599999996,4398907.14,3926986.1799999997,3997658.0400000005,3971773.290000001,3919319.79,3076163.85,3078003.97,3405489.34,3746656.38,3472647.8200000003,3750855.3899999997,4067218.380000001,4004849.96,4083366.13,4626456.7700000005,4739416.539999999,4018306.38,3381259.95,3102554.3200000003,3367341.3200000003,4004437.18,3604897.08,4141960.7299999986,4164541.96,5023070.68,4606673.63,4831342.41,4888464.5,4311226.450000001,4030409.04,3752575.130000001,4096920.6100000003,4198488.0200000005,4339041.27,3934859.29,4796045.9799999995,5284974.52,5091806.220000001,4445108.539999999,4991065.050000001,4492650.02,4031892.99,4142060.3899999997,3720038.1500000004,4461974.0,4554591.61,4965327.79,5510598.460000001,4955425.659999999,4903419.199999999,4935470.07,5049924.15,4799999.03,4520659.970000001,3931441.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Пазарджик,6564405.109999999,6392762.809999999,7408400.419999999,7156043.039999999,7739020.7700000005,7880379.45,9121913.530000001,8889302.740000002,8001621.569999998,8096672.380000003,7473640.220000001,7004883.710000001,7115044.489999997,6843681.56,6440997.62,5468665.1,6700194.700000002,7556353.569999999,8708767.26,8290248.220000001,8187408.68,8296662.069999998,7720081.919999999,6988739.95,6916596.500000001,6852806.5,7716832.569999999,7756069.630000001,7874190.18,8626383.39,9836531.59,9598955.849999998,8413495.36,8384398.799999999,8177288.74,7403533.7700000005,7188468.9399999995,7098781.790000001,7988328.990000001,7673392.12,8075775.96,8194056.5600000005,9139109.16,9235295.69,8529076.57,8423422.940000001,8006215.380000001,7737663.47,7321874.4,7068095.190000001,8147420.089999998,7570236.459999999,8224567.460000001,8546222.46,9584923.85,9416501.810000002,8463701.489999998,8744963.9,8407841.139999997,7558977.9399999995,7739738.680000001,7636175.18,8251799.82,8428188.45,8356671.380000002,8986939.04,10103706.93,9777288.88,8864386.31,9322224.36,8825079.18,7909858.129999998,8158102.040000001,7648875.4399999995,8514462.3,8501825.659999998,9129869.300000003,9626145.89,10449511.05,10071408.96,9453318.319999998,9540595.17,9324876.74,8914561.870000001,8603112.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
